"Site Crawled","https://cybervadis.com/"
"Start Date","2026-05-25"
"Start Time","10:26:43"
"Last Modified Date","2026-05-25"
"Last Modified Time","10:27:50"
"Elapsed","00:01:05"
"Report Date","2026-05-25"
"Report Time","10:27:50"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Custom JavaScript"
"All","182","100.00%","182","Internal HTML pages with 2xx response"
""
"Analytics"
"All","369","100.00%","369","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","369","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","369","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","369","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","369","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","369","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","369","100.00%","369","Internal URLs with associated Google Search Console data"
"Clicks Above 0","62","16.80%","369","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","53","14.36%","369","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","15","4.07%","369","Internal URLs with associated Google Search Console data"
"Orphan URLs","198","53.66%","369","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","369","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","369","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","369","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","369","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","369","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","369","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","369","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","377","100.00%","377","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","377","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","377","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","377","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","377","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","377","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","377","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","377","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","377","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","377","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","377","Internal URLs with 2xx response"
""
"Link Metrics"
"All","365","100.00%","365","Internal HTML/PDF pages"
""
"AI"
"All","182","100.00%","182","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.57%","174","Internal HTML pages with 2xx response"
"1","23","13.22%","174","Internal HTML pages with 2xx response"
"2","14","8.05%","174","Internal HTML pages with 2xx response"
"3","0","0.00%","174","Internal HTML pages with 2xx response"
"4","0","0.00%","174","Internal HTML pages with 2xx response"
"5","0","0.00%","174","Internal HTML pages with 2xx response"
"6","0","0.00%","174","Internal HTML pages with 2xx response"
"7","0","0.00%","174","Internal HTML pages with 2xx response"
"8","0","0.00%","174","Internal HTML pages with 2xx response"
"9","0","0.00%","174","Internal HTML pages with 2xx response"
"10+","0","0.00%","174","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://cybervadis.com/fr/attenuer-les-risques-lies-aux-tiers/evaluation-basee-sur-la-revue-de-preuves","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/a-propos","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/attenuer-les-risques-lies-aux-tiers/analyse-automatisee-des-risques","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/attenuer-les-risques-lies-aux-tiers/methodologie-basee-sur-un-cadre-de-references","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/attenuer-les-risques-lies-aux-tiers/reduction-des-risques","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/se-faire-evaluer/comment-ca-marche","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/a-propos/trust-center","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/ressources","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/actualites","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/legal-notice","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/legal","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/se-faire-evaluer/medailles","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/se-faire-evaluer","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/pourquoi-choisir-cybervadis","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/a-propos/contact","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/se-faire-evaluer/evaluation-adaptee-et-standardisee","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/attenuer-les-risques-lies-aux-tiers","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/fr/attenuer-les-risques-lies-aux-tiers/tarification","61","35.06%","174","Internal HTML pages with 2xx response"
"https://cybervadis.com/about-us/contact","59","33.91%","174","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","377","100.00%"
